DD,MM,YYYY,Type,DocRef,CustomerID,ProductID,Quantity,Amount,Cost
20,10,2015,Cash On Delivery,112131,CASH,45443,1,10,2.99
21,8,2015,Cash On Delivery,121251,CASH,43496,2,3,1.44
21,8,2015,Cash On Delivery,121251,CASH,44115,2,3,1.52
21,8,2015,Cash On Delivery,121251,CASH,41429,1,15,5.83
21,8,2015,Cash On Delivery,121251,CASH,10019,2,20,7.8
21,8,2015,Cash On Delivery,121251,CASH,10022,2,20,7.38
21,8,2015,Cash On Delivery,121251,CASH,40476,1,38,23.32
22,8,2015,Cash On Delivery,121252,CASH,45934,110,660,435.36
25,8,2015,Cash On Delivery,121253,CASH,45535,4,300,157.74
26,8,2015,Cash On Delivery,121254,CASH,45934,20,108.8,87.79
26,8,2015,Cash On Delivery,121254,CASH,30262,90,500.16,312.99
26,8,2015,Cash On Delivery,121255,CASH,44409,1,433.5,311.3
26,8,2015,Cash On Delivery,121256,CASH,40476,1,40,23.32
26,8,2015,Cash On Delivery,121257,CASH,30262,6,54,48.69
27,8,2015,Cash On Delivery,121258,CASH,43321,3,19.5,5.94
27,8,2015,Cash On Delivery,121259,CASH,30190,1,15,8.97
1,9,2015,Cash On Delivery,121260,CASH,44239,4,186,130.58
1,9,2015,Cash On Delivery,121260,CASH,44238,5,207.5,143.89
1,9,2015,Cash On Delivery,121260,CASH,40912,5,215,153.02
1,9,2015,Cash On Delivery,121260,CASH,40913,5,240,175.36
1,9,2015,Cash On Delivery,121260,CASH,40914,5,290,192.29
1,9,2015,Cash On Delivery,121260,CASH,44241,5,325,228.34
1,9,2015,Cash On Delivery,121260,CASH,40931,5,335,231.96
1,9,2015,Cash On Delivery,121260,CASH,44240,10,555,375.58
1,9,2015,Cash On Delivery,121261,CASH,41679,1,4,1.65
1,9,2015,Cash On Delivery,121261,CASH,46608,1,12,10.9
1,9,2015,Cash On Delivery,121261,CASH,41056,1,40,34.05
1,9,2015,Cash On Delivery,121262,CASH,10497,1,12,11
1,9,2015,Cash On Delivery,121262,CASH,30059,1,13,11
1,9,2015,Cash On Delivery,121263,CASH,40176,2,113.4,80.88
